,NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
65,28150,0.20421052631578948,0.167985927880387,0.08445440956651719,0.03799019607843137,0.5302593659942363,0.37119113573407203,0.502865329512894,0.31443298969072164
66,28168,0.30319148936170215,0.034993270524899055,0.009081735620585268,0.0,0.6285714285714286,0.38436482084690554,0.06569343065693431,0.0
67,28173,0.06620209059233449,0.05146036161335188,0.016083916083916083,0.004811715481171548,0.475,0.08171206225680934,0.2565217391304348,0.1445993031358885
68,28205,0.3684210526315789,0.12484700122399021,0.06612184249628529,0.048027444253859346,0.37183098591549296,0.42142857142857143,0.3656387665198238,0.05630026809651475
69,28214,0.21326397919375814,0.08626974483596597,0.03738760056791292,0.04076086956521739,0.5638629283489096,0.14867617107942974,0.11425959780621572,0.041025641025641026
71,28315,0.06315789473684211,0.061855670103092786,0.07446808510638298,0.010652463382157125,0.7962962962962963,0.18181818181818182,0.2,0.0
73,28320,0.03597122302158273,0.0,0.08823529411764706,0.06086956521739131,0.1958762886597938,0.20714285714285716,0.2861271676300578,0.0
74,28333,0.5187319884726225,0.14629629629629629,0.16231884057971013,0.11458333333333333,0.48582995951417,0.6713483146067416,0.25203252032520324,0.2830188679245283
75,28730,0.2717391304347826,0.0,0.07449494949494949,0.0,0.0,0.23076923076923078,0.25925925925925924,0.0
77,28715,0.0970873786407767,0.03721298495645289,0.055424528301886794,0.0059715204409738175,1.0,0.5454545454545454,0.4316546762589928,0.0
78,28716,0.19653179190751446,0.06385404789053592,0.045216251638269984,0.0,0.7569444444444444,0.9440559440559441,0.21350364963503649,0.0
80,28732,0.39080459770114945,0.03933253873659118,0.06344628695025234,0.0,0.1891891891891892,0.2561576354679803,0.0,0.03862660944206009
81,28001,0.043243243243243246,0.058231488138030196,0.05715571557155716,0.0,0.6264705882352941,0.5024630541871922,0.4261682242990654,0.0
82,28018,0.1044776119402985,0.0,0.033632286995515695,0.0,0.0,0.6607142857142857,0.31645569620253167,0.0
83,28025,0.15331491712707182,0.07000993048659385,0.060043080236941306,0.010077742585660812,0.3282828282828283,0.29333333333333333,0.22423288749016523,0.1447084233261339
84,28394,0.022222222222222223,0.12169312169312169,0.006622516556291391,0.0,0.43956043956043955,0.3333333333333333,0.12,0.07352941176470588
85,28411,0.07368421052631578,0.01762977473065622,0.052134359692092375,0.02749890877346137,0.3142857142857143,0.24390243902439024,0.162839248434238,0.038539553752535496
86,28441,0.3026315789473684,0.4444444444444444,0.21893491124260356,0.0,0.03076923076923077,0.7089552238805971,0.330188679245283,0.0
87,28443,0.0,0.07954545454545454,0.05982905982905983,0.010332950631458095,1.0,0.21212121212121213,0.14859437751004015,0.0
88,28458,0.09389671361502347,0.08913649025069638,0.0069767441860465115,0.09316770186335403,0.0,0.37398373983739835,0.358974358974359,0.140625
89,28463,0.5833333333333334,0.023404255319148935,0.10869565217391304,0.0,0.36813186813186816,0.17105263157894737,0.43617021276595747,0.0
91,28512,0.0,0.0410958904109589,0.0,0.00847457627118644,0.0,0.0,0.08571428571428572,0.4473684210526316
92,28422,0.2986111111111111,0.1331521739130435,0.04566744730679157,0.015006821282401092,0.0,0.5789473684210527,0.18461538461538463,0.0
93,28445,0.32051282051282054,0.08375634517766498,0.01978021978021978,0.02197802197802198,0.0,0.41237113402061853,0.2631578947368421,0.0
95,28751,0.0,0.0,0.04304635761589404,0.057803468208092484,0.0,0.5915492957746479,0.28125,0.23333333333333334
96,28752,0.19441069258809235,0.09462486002239642,0.06477225240284162,0.006097560975609756,0.3416666666666667,0.296,0.17069892473118278,0.20297029702970298
97,28768,0.0,0.08695652173913043,0.06359300476947535,0.03470437017994859,0.0,0.19230769230769232,0.7604166666666666,0.0
98,28805,0.3502824858757062,0.04241071428571429,0.040702314445331206,0.0,0.0,0.08602150537634409,0.18041237113402062,0.03215434083601286
99,28906,0.15824915824915825,0.09760589318600368,0.07206733298264072,0.03296703296703297,0.22018348623853212,0.4304932735426009,0.4031413612565445,0.42045454545454547
100,28097,0.027932960893854747,0.016666666666666666,0.0400890868596882,0.0,0.5294117647058824,0.07936507936507936,0.2153846153846154,0.3870967741935484
101,28103,0.0,0.009615384615384616,0.017679558011049725,0.0,0.125,0.1935483870967742,0.031446540880503145,0.0
102,28105,0.05027932960893855,0.09200603318250378,0.013071895424836602,0.002656924609764198,0.5585585585585585,0.175,0.08148148148148149,0.1773308957952468
103,28110,0.16028880866425993,0.09324856191341205,0.01748448956570784,0.00995575221238938,0.5406976744186046,0.3459196102314251,0.25564681724845995,0.05263157894736842
104,28124,0.0,0.05995203836930456,0.04488330341113106,0.0,0.14285714285714285,0.17647058823529413,0.043478260869565216,0.0
105,19140,0.3252788104089219,0.3056282722513089,0.20512820512820512,0.027548209366391185,0.48840927258193445,0.42559787422497786,0.3509590461378953,0.22384428223844283
106,17033,0.09036144578313253,0.008896797153024912,0.0112,0.0056410256410256415,0.0,0.0,0.21839080459770116,0.1440677966101695
107,17044,0.09967845659163987,0.05652573529411765,0.014071294559099437,0.030223390275952694,0.41304347826086957,0.3287981859410431,0.251685393258427,0.0
108,17866,0.17272727272727273,0.03058103975535168,0.12048192771084337,0.0,0.9,0.26900584795321636,0.28378378378378377,0.0
109,17020,0.06201550387596899,0.02066115702479339,0.0,0.012773722627737226,0.5,0.2702702702702703,0.2,0.0
110,17061,0.08181818181818182,0.05069124423963134,0.0,0.0,0.0,0.3838383838383838,0.3898305084745763,0.0
111,17065,0.0,0.0,0.0,0.0,0.0,0.12857142857142856,0.59375,0.4230769230769231
112,17104,0.0,0.031630170316301706,0.0722495894909688,0.0,0.604221635883905,0.35944700460829493,0.42829457364341084,0.14772727272727273
113,17222,0.0,0.017185821697099892,0.015580736543909348,0.04462242562929062,0.0,0.05970149253731343,0.532608695652174,0.0
116,17340,0.12941176470588237,0.01839080459770115,0.005170630816959669,0.0,0.0,0.18452380952380953,0.08333333333333333,0.18181818181818182
117,17403,0.3231707317073171,0.11824123588829472,0.06732117812061711,0.00876843363889996,0.5498392282958199,0.34501642935377874,0.23318385650224216,0.21875
118,17516,0.36666666666666664,0.017948717948717947,0.0,0.0,0.0,0.0,0.0,0.0
121,17557,0.022977022977022976,0.027806385169927908,0.0,0.05491698595146871,0.24285714285714285,0.09027777777777778,0.4714285714285714,0.0
123,17601,0.04326123128119801,0.016835016835016835,0.036297640653357534,0.003813300793166565,0.37,0.24084507042253522,0.09111111111111111,0.08787346221441125
